"Período","Mes","año","Zona","Provincia","Cantón","Oeps / Ueps","Sector Productivo","Tipo de Acompañamiento","Servicio DPC","Detalle del Servicio","No. Beneficiarios","RowID","Periodo","Mes (Right)","Provincia (Right)","Sector_Productivo","Servicio_DPC","No_Beneficiarios","$oid"
"1. Trimestre","Marzo",2021,"3","CHIMBORAZO","GUANO","OEPS","Agroalimentario","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",13,"Row81","1. Trimestre","Febrero","PICHINCHA","Agropecuario","Servicio Limpieza",91,"6a5e8e8d453c93e2f72067c0"
"1. Trimestre","Marzo",2021,"3","COTOPAXI","LATACUNGA","OEPS","Servicio Catering","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",2,"Row82","4. Trimestre","Junio","IMBABURA","Comercio","Asistencia Técnica",19,"6a5e8e8d453c93e2f72067c1"
"1. Trimestre","Marzo",2021,"3","CHIMBORAZO","RIOBAMBA","OEPS","Textil","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",14,"Row83","3. Trimestre","Marzo","AZUAY","Agropecuario","Servicio Limpieza",14,"6a5e8e8d453c93e2f72067c2"
"1. Trimestre","Marzo",2021,"4","MANABI","SUCRE","OEPS","Agroalimentario","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",16,"Row84","3. Trimestre","Abril","GUAYAS","Comercio","Mejora Flujo Proceso",41,"6a5e8e8d453c93e2f72067c3"
"1. Trimestre","Marzo",2021,"4","MANABI","JAMA","OEPS","Servicio Catering","Capital de Trabajo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",23,"Row85","1. Trimestre","Enero","AZUAY","Agropecuario","Servicio Limpieza",58,"6a5e8e8d453c93e2f72067c4"
"1. Trimestre","Marzo",2021,"5","LOS RIOS","VINCES","OEPS","Agroalimentario","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",19,"Row86","4. Trimestre","Junio","LOJA","Comercio","Mejora Flujo Proceso",89,"6a5e8e8d453c93e2f72067c5"
"1. Trimestre","Marzo",2021,"5","SANTA ELENA","SANTA ELENA","OEPS","Agropecuario","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",11,"Row87","1. Trimestre","Febrero","LOJA","Agropecuario","Obtención Producto",92,"6a5e8e8d453c93e2f72067c6"
"1. Trimestre","Marzo",2021,"6","AZUAY","CUENCA","OEPS","Textil","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",9,"Row88","3. Trimestre","Febrero","LOJA","Comercio","Asistencia Técnica",11,"6a5e8e8d453c93e2f72067c7"
"1. Trimestre","Marzo",2021,"6","CAÑAR","LA TRONCAL","OEPS","Servicio Catering","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",10,"Row89","3. Trimestre","Mayo","GUAYAS","Servicios","Obtención Producto",19,"6a5e8e8d453c93e2f72067c8"
"1. Trimestre","Marzo",2021,"7","LOJA","SARAGURO","OEPS","Textil","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",34,"Row90","3. Trimestre","Abril","IMBABURA","Servicios","Servicio Limpieza",100,"6a5e8e8d453c93e2f72067c9"
"1. Trimestre","Marzo",2021,"7","ZAMORA CHINCHIPE","EL PANGUI","OEPS","Servicio Limpieza","Obtención Producto / Servicio","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",15,"Row91","2. Trimestre","Marzo","PICHINCHA","Textil","Servicio Limpieza",50,"6a5e8e8d453c93e2f72067ca"
"1. Trimestre","Marzo",2021,"7","ZAMORA CHINCHIPE","ZAMORA","OEPS","Textil","Obtención Producto / Servicio","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",15,"Row92","2. Trimestre","Marzo","GUAYAS","Comercio","Obtención Producto",58,"6a5e8e8d453c93e2f72067cb"
"1. Trimestre","Marzo",2021,"7","LOJA","LOJA","OEPS","Textil","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",10,"Row93","2. Trimestre","Abril","PICHINCHA","Textil","Asistencia Técnica",64,"6a5e8e8d453c93e2f72067cc"
"1. Trimestre","Marzo",2021,"8","GUAYAS","GUAYAQUIL","OEPS","Servicio Limpieza","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",15,"Row94","4. Trimestre","Abril","IMBABURA","Textil","Servicio Limpieza",37,"6a5e8e8d453c93e2f72067cd"
"1. Trimestre","Marzo",2021,"8","GUAYAS","GUAYAQUIL","OEPS","Servicio Limpieza","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",18,"Row95","1. Trimestre","Junio","PICHINCHA","Servicios","Obtención Producto",87,"6a5e8e8d453c93e2f72067ce"
"1. Trimestre","Marzo",2021,"DMQ","PICHINCHA","CAYAMBE","OEPS","Agropecuario","Certificaciones de Calidad","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",20,"Row96","1. Trimestre","Junio","GUAYAS","Agropecuario","Asistencia Técnica",80,"6a5e8e8d453c93e2f72067cf"
"1. Trimestre","Marzo",2021,"DMQ","PICHINCHA","QUITO","OEPS","Agropecuario","Certificaciones de Calidad","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",15,"Row97","4. Trimestre","Febrero","LOJA","Comercio","Obtención Producto",16,"6a5e8e8d453c93e2f72067d0"
"1. Trimestre","Marzo",2021,"5","SANTA ELENA","LA LIBERTAD","OEPS","Agropecuario","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",12,"Row98","3. Trimestre","Marzo","PICHINCHA","Comercio","Asistencia Técnica",81,"6a5e8e8d453c93e2f72067d1"
"1. Trimestre","Marzo",2021,"7","LOJA","GONZANAMA","OEPS","Agropecuario","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",10,"Row99","4. Trimestre","Marzo","IMBABURA","Servicios","Asistencia Técnica",89,"6a5e8e8d453c93e2f72067d2"
"2. Trimestre","Abril",2021,"5","LOS RIOS","PUEBLO VIEJO","ORGANISMO DE INTEGRACIÓN","Agroalimentario","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",10,"Row100","2. Trimestre","Mayo","GUAYAS","Comercio","Mejora Flujo Proceso",51,"6a5e8e8d453c93e2f72067d3"
"2. Trimestre","Abril",2021,"5","SANTA ELENA","SALINAS","OEPS","Servicio Limpieza","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",5,"Row101","3. Trimestre","Enero","IMBABURA","Textil","Servicio Limpieza",78,"6a5e8e8d453c93e2f72067d4"
"2. Trimestre","Abril",2021,"5","SANTA ELENA","SALINAS","OEPS","Servicio Limpieza","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",5,"Row102","1. Trimestre","Enero","AZUAY","Comercio","Mejora Flujo Proceso",17,"6a5e8e8d453c93e2f72067d5"
"2. Trimestre","Abril",2021,"5","LOS RIOS","BABAHOYO","OEPS","Servicio Limpieza","Capacitación Educación Financiera","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",10,"Row103","2. Trimestre","Enero","LOJA","Comercio","Asistencia Técnica",15,"6a5e8e8d453c93e2f72067d6"
"2. Trimestre","Abril",2021,"5","SANTA ELENA","SALINAS","OEPS","Servicio Limpieza","Capacitación Educación Financiera","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",5,"Row104","3. Trimestre","Febrero","PICHINCHA","Agropecuario","Obtención Producto",10,"6a5e8e8d453c93e2f72067d7"
"2. Trimestre","Mayo",2021,"5","SANTA ELENA","LA LIBERTAD","OEPS","Servicio Limpieza","Capacitación Educación Financiera","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",10,"Row105","3. Trimestre","Abril","GUAYAS","Textil","Obtención Producto",91,"6a5e8e8d453c93e2f72067d8"
"2. Trimestre","Mayo",2021,"5","LOS RIOS","BABAHOYO","OEPS","Textil","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",16,"Row106","2. Trimestre","Abril","AZUAY","Servicios","Asistencia Técnica",93,"6a5e8e8d453c93e2f72067d9"
"2. Trimestre","Mayo",2021,"5","LOS RIOS","BABAHOYO","OEPS","Textil","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",16,"Row107","2. Trimestre","Enero","AZUAY","Servicios","Asistencia Técnica",96,"6a5e8e8d453c93e2f72067da"
"2. Trimestre","Mayo",2021,"5","SANTA ELENA","MILAGRO","OEPS","Agroalimentario","Activos Fijos","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",10,"Row108","3. Trimestre","Mayo","PICHINCHA","Agropecuario","Asistencia Técnica",68,"6a5e8e8d453c93e2f72067db"
"2. Trimestre","Mayo",2021,"5","SANTA ELENA","SALINAS","UEP","Otros","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",1,"Row109","4. Trimestre","Enero","GUAYAS","Comercio","Obtención Producto",21,"6a5e8e8d453c93e2f72067dc"
"2. Trimestre","Junio",2021,"5","SANTA ELENA","SALINAS","OEPS","Servicio Limpieza","Mejora de Infraestructura","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",5,"Row110","1. Trimestre","Enero","AZUAY","Servicios","Asistencia Técnica",77,"6a5e8e8d453c93e2f72067dd"
"2. Trimestre","Junio",2021,"5","SANTA ELENA","SALINAS","OEPS","Servicio Limpieza","Mejora de Infraestructura","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",5,"Row111","4. Trimestre","Junio","GUAYAS","Comercio","Asistencia Técnica",18,"6a5e8e8d453c93e2f72067de"
"2. Trimestre","Junio",2021,"5","SANTA ELENA","EMPALME","OEPS","Agroalimentario","Mejora de Infraestructura","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",10,"Row112","2. Trimestre","Mayo","AZUAY","Agropecuario","Obtención Producto",100,"6a5e8e8d453c93e2f72067df"
"2. Trimestre","Junio",2021,"5","SANTA ELENA","EMPALME","OEPS","Agroalimentario","Mejora de Infraestructura","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",10,"Row113","1. Trimestre","Enero","PICHINCHA","Agropecuario","Mejora Flujo Proceso",44,"6a5e8e8d453c93e2f72067e0"
"2. Trimestre","Junio",2021,"5","SANTA ELENA","LA LIBERTAD","UEP","Otros","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",1,"Row114","3. Trimestre","Marzo","AZUAY","Agropecuario","Servicio Limpieza",31,"6a5e8e8d453c93e2f72067e1"
"2. Trimestre","Junio",2021,"5","SANTA ELENA","LA LIBERTAD","OEPS","Artesanal","Evaluación Herramienta Ex-Post","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",0,"Row115","3. Trimestre","Marzo","LOJA","Textil","Asistencia Técnica",55,"6a5e8e8d453c93e2f72067e2"
"2. Trimestre","Abril",2021,"1","IMBABURA","IBARRA","OEPS","Agroalimentario","FODA / Plan Estratégico","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",100,"Row116","3. Trimestre","Enero","GUAYAS","Comercio","Mejora Flujo Proceso",31,"6a5e8e8d453c93e2f72067e3"
"2. Trimestre","Abril",2021,"1","IMBABURA","COTACACHI","OEPS","Textil","FODA / Plan Estratégico","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",150,"Row117","3. Trimestre","Mayo","PICHINCHA","Comercio","Servicio Limpieza",31,"6a5e8e8d453c93e2f72067e4"
"2. Trimestre","Abril",2021,"1","IMBABURA","IBARRA","OEPS","Textil","FODA / Plan Estratégico","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",1,"Row118","4. Trimestre","Abril","PICHINCHA","Comercio","Asistencia Técnica",37,"6a5e8e8d453c93e2f72067e5"
"2. Trimestre","Abril",2021,"1","SUCUMBIOS","LAGO AGRIO","OEPS","Construcción","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",36,"Row119","2. Trimestre","Junio","LOJA","Comercio","Servicio Limpieza",100,"6a5e8e8d453c93e2f72067e6"
"2. Trimestre","Abril",2021,"1","SUCUMBIOS","LAGO AGRIO","OEPS","Construcción","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",163,"Row120","3. Trimestre","Enero","AZUAY","Textil","Obtención Producto",14,"6a5e8e8d453c93e2f72067e7"
"2. Trimestre","Mayo",2021,"1","SUCUMBIOS","LAGO AGRIO","OEPS","Textil","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",194,"Row121","1. Trimestre","Abril","PICHINCHA","Comercio","Servicio Limpieza",23,"6a5e8e8d453c93e2f72067e8"
"2. Trimestre","Mayo",2021,"1","SUCUMBIOS","LAGO AGRIO","OEPS","Textil","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",0,"Row122","2. Trimestre","Febrero","GUAYAS","Textil","Obtención Producto",87,"6a5e8e8d453c93e2f72067e9"
"2. Trimestre","Mayo",2021,"1","CARCHI","MONTUFAR","OEPS","Textil","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",0,"Row123","1. Trimestre","Febrero","PICHINCHA","Agropecuario","Mejora Flujo Proceso",55,"6a5e8e8d453c93e2f72067ea"
"2. Trimestre","Mayo",2021,"1","CARCHI","MONTUFAR","OEPS","Textil","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",10,"Row124","1. Trimestre","Junio","AZUAY","Comercio","Servicio Limpieza",44,"6a5e8e8d453c93e2f72067eb"
"2. Trimestre","Mayo",2021,"1","ESMERALDAS","SAN LORENZO","ORGANISMO DE INTEGRACIÓN","Agroalimentario","Asesoría Planes de Negocios","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",22,"Row125","3. Trimestre","Enero","PICHINCHA","Agropecuario","Servicio Limpieza",81,"6a5e8e8d453c93e2f72067ec"
"2. Trimestre","Junio",2021,"1","ESMERALDAS","SAN LORENZO","OEPS","Agroalimentario","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",1,"Row126","1. Trimestre","Abril","GUAYAS","Textil","Obtención Producto",23,"6a5e8e8d453c93e2f72067ed"
"2. Trimestre","Junio",2021,"1","SUCUMBIOS","LAGO AGRIO","OEPS","Textil","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",20,"Row127","3. Trimestre","Marzo","IMBABURA","Comercio","Obtención Producto",37,"6a5e8e8d453c93e2f72067ee"
"2. Trimestre","Junio",2021,"1","IMBABURA","IBARRA","OEPS","Agroalimentario","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",17,"Row128","2. Trimestre","Marzo","GUAYAS","Comercio","Servicio Limpieza",85,"6a5e8e8d453c93e2f72067ef"
"2. Trimestre","Junio",2021,"1","IMBABURA","OTAVALO","OEPS","Agropecuario","Evaluación Herramienta Ex-Post","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",100,"Row129","1. Trimestre","Enero","LOJA","Servicios","Servicio Limpieza",82,"6a5e8e8d453c93e2f72067f0"
"2. Trimestre","Abril",2021,"2","ORELLANA","ORELLANA","ORGANISMO DE INTEGRACIÓN","Textil","FODA / Plan Estratégico","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",3,"Row130","4. Trimestre","Mayo","PICHINCHA","Agropecuario","Obtención Producto",87,"6a5e8e8d453c93e2f72067f1"
"2. Trimestre","Abril",2021,"2","ORELLANA","ORELLANA","OEPS","Servicio Catering","Obtención Producto / Servicio","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",9,"Row131","4. Trimestre","Febrero","GUAYAS","Servicios","Obtención Producto",95,"6a5e8e8d453c93e2f72067f2"
"2. Trimestre","Abril",2021,"2","ORELLANA","ORELLANA","OEPS","Servicio Catering","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",9,"Row132","1. Trimestre","Febrero","IMBABURA","Servicios","Mejora Flujo Proceso",89,"6a5e8e8d453c93e2f72067f3"
"2. Trimestre","Abril",2021,"2","ORELLANA","LORETO","OEPS","Agroalimentario","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",1,"Row133","3. Trimestre","Enero","LOJA","Textil","Servicio Limpieza",32,"6a5e8e8d453c93e2f72067f4"
"2. Trimestre","Mayo",2021,"2","ORELLANA","ORELLANA","OEPS","Textil","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",2,"Row134","4. Trimestre","Junio","AZUAY","Comercio","Asistencia Técnica",11,"6a5e8e8d453c93e2f72067f5"
"2. Trimestre","Mayo",2021,"2","ORELLANA","JOYA DE LOS SACHAS","OEPS","Servicio Limpieza","Obtención Producto / Servicio","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",3,"Row135","2. Trimestre","Junio","PICHINCHA","Textil","Mejora Flujo Proceso",100,"6a5e8e8d453c93e2f72067f6"
"2. Trimestre","Mayo",2021,"2","ORELLANA","JOYA DE LOS SACHAS","OEPS","Servicio Limpieza","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",3,"Row136","3. Trimestre","Marzo","GUAYAS","Agropecuario","Servicio Limpieza",70,"6a5e8e8d453c93e2f72067f7"
"2. Trimestre","Junio",2021,"2","ORELLANA","ORELLANA","OEPS","Servicio Catering","Asesoramiento Certificación INEN","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",10,"Row137","2. Trimestre","Marzo","IMBABURA","Comercio","Obtención Producto",11,"6a5e8e8d453c93e2f72067f8"
"2. Trimestre","Junio",2021,"2","ORELLANA","JOYA DE LOS SACHAS","OEPS","Servicio Limpieza","Asesoramiento Certificación INEN","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",10,"Row138","3. Trimestre","Marzo","GUAYAS","Agropecuario","Asistencia Técnica",41,"6a5e8e8d453c93e2f72067f9"
"2. Trimestre","Junio",2021,"2","ORELLANA","ORELLANA","OEPS","Otros","Evaluación Herramienta Ex-Post","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",150,"Row139","2. Trimestre","Mayo","LOJA","Comercio","Asistencia Técnica",64,"6a5e8e8d453c93e2f72067fa"
"2. Trimestre","Abril",2021,"3","CHIMBORAZO","RIOBAMBA","ORGANISMO DE INTEGRACIÓN","Servicio Limpieza","FODA / Plan Estratégico","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",4,"Row140","1. Trimestre","Abril","GUAYAS","Servicios","Servicio Limpieza",99,"6a5e8e8d453c93e2f72067fb"
"2. Trimestre","Abril",2021,"3","CHIMBORAZO","COLTA","UEP","Agroalimentario","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",1,"Row141","3. Trimestre","Abril","LOJA","Comercio","Obtención Producto",29,"6a5e8e8d453c93e2f72067fc"
"2. Trimestre","Abril",2021,"3","CHIMBORAZO","RIOBAMBA","OEPS","Reciclaje","Elaboración Manual de Bioseguridad","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",5,"Row142","1. Trimestre","Abril","LOJA","Textil","Obtención Producto",89,"6a5e8e8d453c93e2f72067fd"
"2. Trimestre","Abril",2021,"3","COTOPAXI","PUJILI","OEPS","Servicio Alimentación","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",1,"Row143","3. Trimestre","Abril","AZUAY","Textil","Obtención Producto",74,"6a5e8e8d453c93e2f72067fe"
"2. Trimestre","Abril",2021,"3","COTOPAXI","PUJILI","OEPS","Servicio Alimentación","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",1,"Row144","2. Trimestre","Mayo","PICHINCHA","Agropecuario","Asistencia Técnica",73,"6a5e8e8d453c93e2f72067ff"
"2. Trimestre","Mayo",2021,"3","CHIMBORAZO","RIOBAMBA","OEPS","Textil","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",9,"Row145","4. Trimestre","Abril","PICHINCHA","Comercio","Asistencia Técnica",50,"6a5e8e8d453c93e2f7206800"
"2. Trimestre","Mayo",2021,"3","CHIMBORAZO","RIOBAMBA","OEPS","Textil","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",9,"Row146","2. Trimestre","Junio","IMBABURA","Comercio","Servicio Limpieza",31,"6a5e8e8d453c93e2f7206801"
"2. Trimestre","Mayo",2021,"3","COTOPAXI","SIGCHOS","OEPS","Agroalimentario","Elaboración Reglamento Interno","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",1,"Row147","2. Trimestre","Mayo","PICHINCHA","Servicios","Asistencia Técnica",27,"6a5e8e8d453c93e2f7206802"
"2. Trimestre","Mayo",2021,"3","TUNGURAHUA","PELILEO","OEPS","Textil","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",1,"Row148","3. Trimestre","Junio","PICHINCHA","Comercio","Obtención Producto",100,"6a5e8e8d453c93e2f7206803"
"2. Trimestre","Mayo",2021,"3","TUNGURAHUA","PELILEO","OEPS","Textil","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",1,"Row149","3. Trimestre","Mayo","GUAYAS","Servicios","Servicio Limpieza",70,"6a5e8e8d453c93e2f7206804"
"2. Trimestre","Junio",2021,"3","CHIMBORAZO","GUANO","OEPS","Agroalimentario","Asesoría Planes de Negocios","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",1,"Row150","2. Trimestre","Mayo","AZUAY","Comercio","Mejora Flujo Proceso",74,"6a5e8e8d453c93e2f7206805"
"2. Trimestre","Junio",2021,"3","TUNGURAHUA","AMBATO","OEPS","Textil","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",1,"Row151","3. Trimestre","Marzo","AZUAY","Textil","Servicio Limpieza",25,"6a5e8e8d453c93e2f7206806"
"2. Trimestre","Junio",2021,"3","TUNGURAHUA","AMBATO","OEPS","Textil","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",1,"Row152","2. Trimestre","Mayo","AZUAY","Agropecuario","Servicio Limpieza",50,"6a5e8e8d453c93e2f7206807"
"2. Trimestre","Junio",2021,"3","TUNGURAHUA","QUERO","OEPS","Agroalimentario","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",1,"Row153","1. Trimestre","Enero","IMBABURA","Comercio","Mejora Flujo Proceso",41,"6a5e8e8d453c93e2f7206808"
"2. Trimestre","Junio",2021,"3","TUNGURAHUA","PATATE","UEP","Agroalimentario","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",1,"Row154","2. Trimestre","Junio","LOJA","Servicios","Obtención Producto",67,"6a5e8e8d453c93e2f7206809"
"2. Trimestre","Junio",2021,"3","TUNGURAHUA","QUERO","OEPS","Agroalimentario","Evaluación Herramienta Ex-Post","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",0,"Row155","1. Trimestre","Febrero","IMBABURA","Servicios","Obtención Producto",72,"6a5e8e8d453c93e2f720680a"
"2. Trimestre","Abril",2021,"4","SANTO DOMINGO DE LOS TSACHILAS","SANTO DOMINGO","ORGANISMO DE INTEGRACIÓN","Agroalimentario","Asesoría Planes de Negocios","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",10,"Row156","3. Trimestre","Febrero","LOJA","Agropecuario","Mejora Flujo Proceso",34,"6a5e8e8d453c93e2f720680b"
"2. Trimestre","Abril",2021,"4","SANTO DOMINGO DE LOS TSACHILAS","SANTO DOMINGO","UEP","Agroalimentario","Obtención Producto / Servicio","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",1,"Row157","1. Trimestre","Marzo","GUAYAS","Agropecuario","Asistencia Técnica",79,"6a5e8e8d453c93e2f720680c"
"2. Trimestre","Abril",2021,"4","SANTO DOMINGO DE LOS TSACHILAS","SANTO DOMINGO","UEP","Agroalimentario","Obtención Producto / Servicio","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",1,"Row158","1. Trimestre","Enero","IMBABURA","Servicios","Obtención Producto",65,"6a5e8e8d453c93e2f720680d"
"2. Trimestre","Abril",2021,"4","SANTO DOMINGO DE LOS TSACHILAS","SANTO DOMINGO","OEPS","Textil","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",13,"Row159","2. Trimestre","Febrero","IMBABURA","Agropecuario","Obtención Producto",99,"6a5e8e8d453c93e2f720680e"
"2. Trimestre","Abril",2021,"4","MANABI","PORTOVIEJO","UEP","Agroalimentario","Asesoría Planes de Negocios","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",1,"Row160","1. Trimestre","Junio","LOJA","Servicios","Servicio Limpieza",29,"6a5e8e8d453c93e2f720680f"
"2. Trimestre","Mayo",2021,"4","MANABI","PORTOVIEJO","OEPS","Textil","Asesoría Planes de Negocios","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",10,"Row161","2. Trimestre","Enero","AZUAY","Textil","Obtención Producto",98,"6a5e8e8d453c93e2f7206810"
